index	promptID	pairID	genre	null	null	null	null	sentence1	sentence2	label1	gold_label
1	contrast_26723660.000	contrast_26723660.000e	wikipedia					A cradle is a move where the attacker performs the cradle by grabbing the neck of his opponent with one arm, and wrapping the elbow of the other arm behind the knee of the opponent.	The attacker should grab the neck of the opponent with one arm and wrap an elbow behind the knee. 	entailment	entailment
2	contrast_25545950.001	contrast_25545950.001e	wikipedia					The Kettle Lake Bog Garden is partially enclosed by curved brick walls with built-in benches.	It has built-in benches.	entailment	entailment
3	contrast_42543843.001	contrast_42543843.001e	wikipedia					This project was followed by a biography he authored in 1962 on Michael Ramsey, the 100th Archbishop of Canterbury, which was listed among the 200 best books of that year.	It was followed by a biography in the 1960's.	entailment	entailment
4	contrast_21913154.000	contrast_21913154.000c	wikipedia					Benke was born on May 5, 1946 in Milwaukee, Wisconsin as the first child of Raymond and Dorothea Benke.	Benke was the second child born in 1905 to Raymond Benke. 	contradiction	contradiction
5	contrast_52450321.004	contrast_52450321.004e	wikipedia					"The ""New York Post"" said that Diaco created the ""worst rivalry in sports history."""	He created the worst rivalry in sports history.	entailment	entailment
6	contrast_25790505.000	contrast_25790505.000e	wikipedia					The first of United's last two games was at home to West Ham United at midday on Saturday, 3 May. Needing the win, United got off to a great start, as Ronaldo put them ahead in the third minute with a deflected shot.	They started the match off really well.	entailment	entailment
7	contrast_07639805.000	contrast_07639805.000e	wikipedia					In 1992, the voters of the state approved a measure which amended Article X of the Colorado Constitution that restricts revenues for all levels of government (state, local, and schools).	Voters approved the amended Article X. 	entailment	entailment
8	contrast_34198671.001	contrast_34198671.001c	wikipedia					It was released on VHS in both PAL and NTSC formats.	It has only been released in the NTSC format. 	contradiction	contradiction
9	contrast_50264827.001	contrast_50264827.001e	wikipedia					Leading up to the French Open, Khachanov's record for the year was ten wins and twelve losses and he had failed to reach a single tournament semifinal.	Khachanov's record loss for the year was twelve.	entailment	entailment
10	contrast_07327978.006	contrast_07327978.006c	wikipedia					Youngs batted .356 in the 1923 World Series, which the Giants lost to the Yankees.	The Giants won against the Yankees.	contradiction	contradiction
11	contrast_03062335.002	contrast_03062335.002c	wikipedia					In time as the plates are subducted, the transform fault will decrease in length until the transform fault disappears completely, leaving only two subduction zones facing in opposite directions.	The transform fault will increase in length until the transform fault disappears completely.	contradiction	contradiction
