index	promptID	pairID	genre	null	null	null	null	sentence1	sentence2	label1	gold_label
1	base_34495171.000	base_34495171.000n	wikipedia					In 1812 about 1500 tons of cargo was moved through Rome by this route.	 In 1812 about 1500 tons of cargo was moved through Rome by this route for 5th time.	neutral	neutral
2	base_11506498.001	base_11506498.001e	wikipedia					Unlike previous Bowie bands (such as the Spiders from Mars), Tin Machine acted as a democratic unit.	Tin Machine acted as a democratic unit.	entailment	entailment
3	base_56242006.001	base_56242006.001e	wikipedia					The term brake van began to be adopted from the 1870s onwards, when bespoke designed vehicles had a specific hut added to house the guard away from the weather.	When bespoke designed vehicles had a specific hut added to house the guard away from the weather, the term brake van began to be adopted.	entailment	entailment
4	base_24554673.002	base_24554673.002c	wikipedia					Some of Capability Brown's signature cedars of Lebanon still surround the house today.	None of Capability Brown's signature cedars of Lebanon still surround the house today.	contradiction	contradiction
5	base_37851202.001	base_37851202.001c	wikipedia					At age 17, Hodgson was drafted by the New South Wales Waratahs as a flyhalf/centre and was redeveloped as a loose forward.	The position of flyhalf was Hodgson's calling for all of his career.	contradiction	contradiction
6	base_01379725.004	base_01379725.004n	wikipedia					"There were many days when I had to force myself to go to the studio… I really wanted to live another life."""	I was unhappy sometimes.	neutral	neutral
7	base_32490478.002	base_32490478.002e	wikipedia					As her fame spread, her husband is portrayed to have been jealous of the attention Bahinabai received.	Her husband is portrayed to have been jealous of the attention Bahinabai received.	entailment	entailment
8	base_17231590.000	base_17231590.000n	wikipedia					Vijayanagara (Karnata Empire, or Karnataka Empire) is considered the greatest medieval Hindu empire and one of the greatest in the world at that time.	Vijayanagara draws a lot of attention from historians.	neutral	neutral
9	base_46638719.000	base_46638719.000e	wikipedia					She ran for a second time in 2018, and gained support from several political parties, organizations, and associations.	In her second run, many organizations and political parties expressed their support.	entailment	entailment
10	base_05332829.004	base_05332829.004e	wikipedia					Bluetooth and USB had conference programming and associated exhibition floor pavilions to help these technologies and start up companies be seen in such a large event and marketplace.	Bluetooth had an exhibition floor pavilions to assist these technologies. 	entailment	entailment
11	base_32311258.005	base_32311258.005c	wikipedia					I was accused of not paying the loan on my house.	I pay my loans on time promptly and no one has said otherwise.	contradiction	contradiction
12	base_60110707.000	base_60110707.000e	wikipedia					Mitchell did not return to military duty, but devoted himself to literature, passing a considerable portion of each year on the continent up to 1848, after which he spent the remainder of his life with his sisters in Edinburgh.	Mitchell went on to devote himself to literature, not returning to military duty. 	entailment	entailment
13	base_53638788.000	base_53638788.000c	wikipedia					The music for Dharma Durai (2016) is composed by Yuvan Shankar Raja.	Dharma Durai does not have music.	contradiction	contradiction
14	base_02976397.001	base_02976397.001e	wikipedia					The screw-pile was used for the erection of lighthouses and other structures on mudbanks and shifting sands, including bridges and piers.	Bridges, piers and lighthouses alike are all erected on mudbanks and shifting sands.	entailment	entailment
15	base_01218200.001	base_01218200.001n	wikipedia					Every resident graduate of the Kalamazoo Public Schools is provided with a scholarship for up to 100% of tuition and mandatory fee costs for four years at any public university or community college in Michigan, starting with the class of 2006.	This helped a lot of students afford college.	neutral	neutral
16	base_21203104.006	base_21203104.006c	wikipedia					He encourages her to take it, not because he wants to lose her but because he does not want her involved in what is coming.	He desires her to stay with him throughout anything they face.	contradiction	contradiction
17	base_59486233.003	base_59486233.003e	wikipedia					In 1927 she married August Deinboll (1880–1975), who was the father of the Norwegian cartoonist Tore Deinboll (1910–1988).	In 1927 she married August Deinboll.	entailment	entailment
18	base_53318690.002	base_53318690.002e	wikipedia					The variable dwarf kingfisher was therefore split and 12 of the subspecies, including the dimorphic dwarf kingfisher, were promoted to species status.	The Dimorphic dwarf kingfisher was among those that were promoted.	entailment	entailment
19	base_18040528.000	base_18040528.000e	wikipedia					Ottawa proceeded alone from Pearl to Eniwetok, Marshalls, and Ulithi, Carolines, then departed the latter in convoy on 27 June 1945 bound for Okinawa.	Ottawa went alone from Pearl to Eniwetok.	entailment	entailment
20	base_15177797.000	base_15177797.000e	wikipedia					The Teamsters began to expand dramatically and mature organizationally under Tobin.	The teamsters started to expand under Tobin	entailment	entailment
21	base_37571566.000	base_37571566.000c	wikipedia					John Wallace was a competitor in the sailing competition at the 1936 Summer Olympics in Berlin.	John Wallace was in the Winter Olympics in Berlin.	contradiction	contradiction
22	base_30739942.001	base_30739942.001c	wikipedia					Mean travel time to work for workers 16 and over was 23 minutes.	The workers had to be early to catch the first train.	contradiction	contradiction
23	base_34339012.000	base_34339012.000e	wikipedia					Karyuchin also competed in the K-4 1000 m event at the 1968 Summer Olympics in Mexico City, but was eliminated in the semifinals.	Mexico City was the location of the K-4 1000m event Karyuchin competed in.	entailment	entailment
24	base_41109537.000	base_41109537.000e	wikipedia					Nebecker was elected Auditor of Fountain County, Indiana in 1870 and held that office for four years.	In the year 1870, the position of Fountain County's Auditor, in Indiana, was held by Nebecker	entailment	entailment
25	base_12927052.001	base_12927052.001c	wikipedia					"The name ""bergstrasen"" was first recorded in 1165."	1165 saw the ruling out of Bergstrasen as a name.	contradiction	contradiction
26	base_09976010.001	base_09976010.001c	wikipedia					The clock again broke down at 5.45am on 6 September 2006 but wet weather hampered efforts to investigate the fault.	The clock again broke down at 6.46am on 5 September 2005.	contradiction	contradiction
27	base_36265968.000	base_36265968.000c	wikipedia					On March 13, 2005, Eisner announced that he would step down as CEO one year before his contract expired.	Eisner's contract was set to expire on July of that same year	contradiction	contradiction
28	base_21289311.000	base_21289311.000c	wikipedia					"Round-bottom flasks often have one or more conically tapered ground glass joint openings, or ""necks""."	The round-bottom flasks have only one conically tapered ground glass joint openings.	contradiction	contradiction
29	base_44681422.001	base_44681422.001e	wikipedia					He came off the bench against Russia in their first 2014 IRB Nations Cup match on 13 June 2014, scoring 6 points.	He came came off the bench against Russia in their first 2014 IRB Nations Cup match.	entailment	entailment
30	base_12739909.003	base_12739909.003n	wikipedia					In 1803, the city was mediatized and became a possession of the Counts of Quadt.	The Counts of Quadt sought to increase trade to the city. 	neutral	neutral
31	base_58053703.005	base_58053703.005n	wikipedia					Over the course of his career, Pawełek was awarded the Silver Cross of Merit and named a knight of the Order of Polonia Restituta.	Pawelek was knighted in 1998. 	neutral	neutral
32	base_33671447.005	base_33671447.005n	wikipedia					The building itself stood for over one hundred years before being finally demolished in 2015.	The building served as a meeting place for many people's. 	neutral	neutral
33	base_22309018.000	base_22309018.000n	wikipedia					Frederick willed the mansion to Mrs. Lord.	Mrs. Lord remodeled the mansion entirely 	neutral	neutral
34	base_08060932.001	base_08060932.001e	wikipedia					The design and marketing contract was awarded to Data Select in 2010.	Data Select got the marketing contract.	entailment	entailment
35	base_51839643.000	base_51839643.000n	wikipedia					Cassa di Risparmio di Ascoli Piceno known as Carisap, is a former Italian regional bank based in Ascoli Piceno, Marche.	Cassa di Risparmio di Ascoli Piceno in Marche, was a bank that had to close due to legal problems 	neutral	neutral
36	base_37847531.002	base_37847531.002n	wikipedia					"The team obtained a UCI Continental licence for its first season (2008) under the name of ""Team R.A.C.E. Pro"" (TRP), ""Team Planet Energy"" (TPE) in 2009 and SpiderTech powered by Planet Energy (CSM) in 2010."	"Under the name of ""Team R.A.C.E. Pro"" the team obtained a licence."	neutral	neutral
37	base_07211005.006	base_07211005.006e	wikipedia					To hide his creations from Unicron before he felt they were ready to face him, Primus went into a hibernation-like sleep, his massive visage nestled at the planet's heart.	To hide his creations from Unicron, Primus went into a hibernation-like sleep.	entailment	entailment
38	base_13108624.000	base_13108624.000n	wikipedia					Ambrose Swasey (December 19, 1846 – June 15, 1937) was an American mechanical engineer, inventor, entrepreneur, manager, astronomer, and philanthropist.	Ambrose Swasey began as merely an engineer but snowballed professions overtime.	neutral	neutral
39	base_21899186.000	base_21899186.000n	wikipedia					Holman took an interest in one fan, Zachary Smith Reynolds, the heir to the R. J. Reynolds tobacco company.	Holman's interest in Zachary was due solely to his inheritance.	neutral	neutral
40	base_25053661.002	base_25053661.002c	wikipedia					"Going into 2008 he was ranked the # 1 minor league prospect in baseball by both ""Baseball America"" and Baseball Prospectus."	"He was ranked the #3 minor league prospect in baseball by ""Baseball America"" going into 2008."	contradiction	contradiction
41	base_28393295.003	base_28393295.003n	wikipedia					"The vessels were built as a class by Seabridge, and were then operated by Bibby Line, Furness Withy, Hunting Line and Hilmar Reksten. """	The vessels were built as a class by Seabridge at a considerable price.	neutral	neutral
42	base_21616815.003	base_21616815.003n	wikipedia					As further development takes place, these hyphae make contact with and adhere to the hymenial surface of the stem, covering basidia and macrocystidia (very long cystidia) already present.	These hyphae make contact with the stem around day three of development.	neutral	neutral
43	base_09049083.000	base_09049083.000e	wikipedia					The school retired his jersey (No.	His jersey was retired by the school	entailment	entailment
44	base_52427392.001	base_52427392.001e	wikipedia					They were one of the eight teams that competed in the 2010 Indian Premier League.	The 2010 Indian Premier League was competed by eight teams.	entailment	entailment
45	base_02509784.002	base_02509784.002e	wikipedia					There were 100 housing units at an average density of 392.5 per square mile (154.4/km²).	There were 100 housing units.	entailment	entailment
46	base_43652356.000	base_43652356.000n	wikipedia					The owner at the time of the fire was George Prince; rebuilding was completed by the following February.	George Prince was satisfied about the rebuilding.	neutral	neutral
47	base_31593146.002	base_31593146.002n	wikipedia					Presumably this version was a last-ditch attempt to rally sales in a market that was dominated by RX100 sales.	The sales target increased marginally. 	neutral	neutral
48	base_37946513.003	base_37946513.003n	wikipedia					The club's sponsorship deal with Eumako was only good for two years and ended in 1993.	Eumako had a two-year sponsorship with a soccer club that ended in 1993.	neutral	neutral
49	base_19496902.001	base_19496902.001n	wikipedia					He appeared in seventy-eight games for the Bruins, scoring thirty-nine goals and assisting on fifteen.	He appeared in seventy-eight games for the Bruins winning every game.	neutral	neutral
50	base_08254819.001	base_08254819.001e	wikipedia					Gabriel had begun work on some songs and provided Lanois and Rhodes with chord structures, around which they improvised compositions.	Gabriel provided Lanois and Rhodes with cords for the new songs. 	entailment	entailment
51	base_31988777.001	base_31988777.001n	wikipedia					The director of the club is Melbourne musician Phil Heuzenroeder.	Melbourne musician Phil Heuzenroeder has been the long time director of the club.	neutral	neutral
52	base_30779856.000	base_30779856.000c	wikipedia					The airport is located from downtown Parnaíba.	The airport is not located from downtown Parnaíba.	contradiction	contradiction
53	base_23999296.004	base_23999296.004e	wikipedia					Accounts of the party vary.	There are varying accounts of the party.	entailment	entailment
54	base_47808196.001	base_47808196.001n	wikipedia					In March 2014 Butcher joined Maidstone United on loan until the end of the season, and following his release from Gillingham he joined the Stones on a permanent deal in June 2014.	Butcher stayed with the Stones for five seasons.	neutral	neutral
55	base_10890305.000	base_10890305.000e	wikipedia					However, several naval militias were activated or reactivated in the late 20th century and early 21st century.	Some naval militias were activated in the late 20th century.	entailment	entailment
56	base_16020613.008	base_16020613.008n	wikipedia					In this series, Litten also plays a regular character, Marcus, an overweight fitness instructor who uses a wheelchair.	Marcus is in a wheelchair because he is overweight and gross.	neutral	neutral
57	base_15177797.000	base_15177797.000c	wikipedia					The Teamsters began to expand dramatically and mature organizationally under Tobin.	The teamsters did not grow and subsequently, the idea died 	contradiction	contradiction
58	base_53748983.001	base_53748983.001n	wikipedia					The south-to-north route runs primarily on 164th Street, operating between two major bus-subway hubs: Sutphin Boulevard – Archer Avenue/Jamaica and Flushing–Main Street.	You can get on the south-to-north route on streets other than 164th.	neutral	neutral
59	base_33790864.000	base_33790864.000c	wikipedia					No You Girls reached #22 in the UK Singles Chart two weeks before its official release, dropped to #24 the next week and then returned to #22 upon its official release.	 No You Girls failed to reach #22 in the UK Singles Chart.	contradiction	contradiction
60	base_47185323.001	base_47185323.001n	wikipedia					They were promoted to the highest level of football in Ivory Coast, and play their games at 4,000 capacity Parc des Sports de Treichville.	The Parc des Sports de Treichville was constructed in the 1990s.	neutral	neutral
61	base_55683663.005	base_55683663.005n	wikipedia					Drawing on this discovery she made a series she called Entry (borders and corners) in 2000.	The series called Entry was premiered during the fall of 2000	neutral	neutral
62	base_15818233.000	base_15818233.000e	wikipedia					by the host of the nonprofit organization 'Living and Art Creative Center (일상예술창작센터)' since 2002.	Living and Art Creative Center is a nonprofit.	entailment	entailment
63	base_01626824.000	base_01626824.000n	wikipedia					"Starr tried creating a new ""watered down"" public image in 2002, releasing a solo single which was not received well by critics, as it didn't have the trademark ""energy"" of the past NTM releases."	Starr's single didn't break top 300 on Billboard. 	neutral	neutral
64	base_00639440.001	base_00639440.001e	wikipedia					The researchers recognized the problems with racial and ethnic variables but the majority still believed these variables were necessary and useful.	The racial and ethnic problems were recognized by the researchers 	entailment	entailment
65	base_50142082.001	base_50142082.001c	wikipedia					He played at the end position for the 1920 Detroit Heralds during the first regular season of the NFL (then known as the American Professional Football Association).	He never played at the end position for the 1920 Detroit Heralds.	contradiction	contradiction
66	base_05047069.005	base_05047069.005n	wikipedia					The ecosystem now on the site consists only of planted eucalyptus and Pinus patula trees, along with insects and rodents.	There are four different species of beetle within the site at this time. 	neutral	neutral
67	base_14269341.001	base_14269341.001n	wikipedia					As part of a long running project to restore the estuary, in 2009 a new 10,000 foot dike was installed behind the old dike and four miles of the old Brown Farm Dike were removed.	The dike project was controversial when it was brought to the public.	neutral	neutral
68	base_16963385.000	base_16963385.000n	wikipedia					"Following successful trials aboard the frigate and sister ship , plans to convert the ""St. Laurent"" class took shape."	Successful trials aboard the frigate and sister ship provoked the end of the St. Laurent class. 	neutral	neutral
69	base_54353276.001	base_54353276.001c	wikipedia					He has been charged by Spain with alleged tax offenses, money laundering and corruption among individuals in other cases of corruption.	Spain's investigation concluded zero presence of corruption here.	contradiction	contradiction
70	base_30792625.000	base_30792625.000c	wikipedia					Voice Research: In 1995 Edgerton was asked by Barney Childs and Phillip Rehfeldt, then editors of the New Instrumentation Series at the University of California Press to contribute a book discussing extended vocal techniques.	Barney Childs died in 1995.	contradiction	contradiction
71	base_39571810.004	base_39571810.004c	wikipedia					For a teenager with few hopes for the future, one highly susceptible to influence, it’s not an offer to refuse.	Teenagers can easily refuse such a tempting offer.	contradiction	contradiction
72	base_14314905.001	base_14314905.001n	wikipedia					From 1979, the council had 15 3-member wards, reduced to 14 wards in 2002 and 13 in 2012.	Advances in technology allowed for the reduction of wards in the council	neutral	neutral
