index	promptID	pairID	genre	null	null	null	null	sentence1	sentence2	label1	gold_label
1	edit_other_13407008.000	edit_other_13407008.000c	wikipedia					Moderate to severe damage was reported across the lower Mississippi Valley.	It was estimated to have done $200,000 damage in this county.	contradiction	contradiction
2	edit_other_26832272.000	edit_other_26832272.000c	wikipedia					"Wilson argues that the essential weakness of James George Frazer's ""The Golden Bough"" is that Frazer attributed the fundamental mythological systems to the beginnings of the farming cultures, specifically to fertility."	Wilson argued that the strength of Frazer's work was the fundamental mythological systems linked to farming societies.	contradiction	contradiction
3	edit_other_54725722.000	edit_other_54725722.000c	wikipedia					Valery Semenovich Durov (; ) is a Russian antiquarian, philologist, and academic (Honored Worker of Higher Professional Education of the Russian Federation).	Durov is a Russian Modernist and mathematician. 	contradiction	contradiction
4	edit_other_26889279.000	edit_other_26889279.000n	wikipedia					Henry is the son of Brian Henry, well-known figure in independent TV in London and great-nephew of Elizabeth Craig MBE Scottish journalist, cook and author.	Henry Kelly is an Irish TV presenter.	neutral	neutral
5	edit_other_26647110.000	edit_other_26647110.000c	wikipedia					An AArk Steering Committee, with Executive Co-Chairs from each of the three principal partners, provide guidance on the activities of the AArk and ensure communication with stakeholders.	The stakeholders and partners of the AArk Steering Committee, are responsible for the communication between the involved parties	contradiction	contradiction
6	edit_other_15946351.001	edit_other_15946351.001n	wikipedia					The product of this conference was the controversial Treaty of Versailles.	The Treat of Versailles resulted in a demilitarized Germany.  	neutral	neutral
7	edit_other_06468402.000	edit_other_06468402.000e	wikipedia					The center featureed four classrooms with multimedia capabilities, two computer labs, a conference room, student computer workstations, and a lounge area with ports for laptop use.	The center's classrooms had multimedia capabilities.	entailment	entailment
8	edit_other_60601897.000	edit_other_60601897.000e	wikipedia					The series follows recovering addict and comedian Mae, who is trying to control the addictive behaviours and intense romanticism that permeate every facet of her life.	Controlling the intense romanticism and the addictive behaviors that permeate every facet of Mae's life is the premise of the series.	entailment	entailment
9	edit_other_31873760.001	edit_other_31873760.001n	wikipedia					Worship is done by the priest every Saturday and Tuesday at noon time.	More people attend the worship on Sunday.	neutral	neutral
10	edit_other_08753665.000	edit_other_08753665.000n	wikipedia					"In the aftermath of the Korean War, TAC developed the Composite Air Strike Force (CASF) concept, a mobile rapid-deployment strike concept designed to respond to ""brush fire"" conflicts around the world."	CASF would soon be deployed world wide to help with brush warfare. 	neutral	neutral
11	edit_other_30034521.000	edit_other_30034521.000n	wikipedia					On December 1, 2007, Drake Younger competed in the third IWA Deep-South Carnage Cup where he wrestled a Three Way Deathmatch against Viking and WHACKS.	Drake Younger wrestled against Viking and WHACKS losing the fight	neutral	neutral
12	edit_other_04269498.001	edit_other_04269498.001c	wikipedia					In 1664 he came back to Holland; when war broke out with an England supported by the invading bishop of Münster, he was appointed commander-in-chief of the Dutch States Army.	He was almost appointed commander-in-chief of the Dutch States Army.	contradiction	contradiction
13	edit_other_33215364.001	edit_other_33215364.001c	wikipedia					Being a noble meant that one had responsibilities to lead, manage and so on.	If you are a noble you are given hired help to both lead and manage in your stead while you relax.	contradiction	contradiction
14	edit_other_40094849.001	edit_other_40094849.001n	wikipedia					"But Diddy told T.I., ""Yeah, this is my record, but you know what, I think this is a better fit for you."	Diddy produced a solo album by T.I.	neutral	neutral
15	edit_other_45854193.003	edit_other_45854193.003c	wikipedia					Soon after the war, Van Heuvelen showed the finished symphony to Leonard Bernstein, but nothing came of it.	Leonard Bernstein showed his long finished symphony to Van Heuvelen soon after the end of the war, to much admiration and praise.	contradiction	contradiction
16	edit_other_51480682.002	edit_other_51480682.002e	wikipedia					"The album was recorded following the departure of Hazel Payne from A Taste of Honey in 1983 and after the commercial disappointment of their 1982 album, ""Ladies of the Eighties""."	The album was recorded by them in 1983.	entailment	entailment
17	edit_other_12184718.003	edit_other_12184718.003c	wikipedia					Earlier, the French Navy had intended to retire these ships in the period from 2010 to 2014.	The French Navy intended to retrofit the ships.	contradiction	contradiction
18	edit_other_49952503.002	edit_other_49952503.002e	wikipedia					Hostilities with the powerful Sokoto Caliphate soon followed.	Sokoto Caliphate was considered powerful when the conflict started.	entailment	entailment
19	edit_other_00608347.000	edit_other_00608347.000c	wikipedia					Although raised in a religious family, Pol Pot maintained an atheistic attitude later in life.	He renounced family at a very early age and took on a life of a religious devotion.	contradiction	contradiction
20	edit_other_31164348.002	edit_other_31164348.002c	wikipedia					It lies approximately north-west of Kutno and north of the regional capital Łódź.	It lies approximately east of the regional capital Łódź.	contradiction	contradiction
21	edit_other_06814815.005	edit_other_06814815.005e	wikipedia					No contract was ever signed—despite media reports indicating he had—because Flatley and his management wouldn't agree to terms.	Despite media reports, Flatley and company disagreed to terms and no contract was signed.	entailment	entailment
22	edit_other_38228329.003	edit_other_38228329.003e	wikipedia					From Hartford, SR 123 travels in a northeasterly direction before turning to the north upon entering Houston County and intersecting SR 103.	SR 123 intersects SR 103 in Houston County.	entailment	entailment
23	edit_other_49952503.002	edit_other_49952503.002n	wikipedia					Hostilities with the powerful Sokoto Caliphate soon followed.	The Sokoto Caliphate has continued to the present.	neutral	neutral
24	edit_other_05688569.002	edit_other_05688569.002n	wikipedia					"The Third Reich annexed the former German lands, comprising the ""Polish Corridor"", West Prussia, the Province of Posen, and parts of eastern Upper Silesia."	The Third Reich occupied the former German lands during WWII	neutral	neutral
25	edit_other_30325189.000	edit_other_30325189.000e	wikipedia					His articles and poems have appeared in many publications worldwide.	His works have appeared in many different publications worldwide. 	entailment	entailment
26	edit_other_43751381.001	edit_other_43751381.001c	wikipedia					The Romans developed law into a kind of science known as jurisprudence.	The Romans developed science into a kind of law known as jurisprudence.	contradiction	contradiction
27	edit_other_60601897.000	edit_other_60601897.000c	wikipedia					The series follows recovering addict and comedian Mae, who is trying to control the addictive behaviours and intense romanticism that permeate every facet of her life.	The series stars Martin as herself, a recovering addict who is trying to face her addictive behaviors.	contradiction	contradiction
28	edit_other_18647783.004	edit_other_18647783.004e	wikipedia					Lough Melvin provided the perfect source for having spent many days gazing upon its vast expanse he had watched in awe at the abundance of wild salmon and various trout like fish that frolicked in pursuit of unsuspecting insect life.	Lough Melvin had spent many hours in awe at the wild salmon. 	entailment	entailment
29	edit_other_21228037.000	edit_other_21228037.000e	wikipedia					The estuary, together with Santoña´s natural park, is arguably the most important wetland in the Iberian Peninsula.	The most important wetlands in the Iberian Peninsula are Santoña´s natural park and the estuary.	entailment	entailment
30	edit_other_05354764.000	edit_other_05354764.000c	wikipedia					Swale is a local government district with borough status in Kent, England and is bounded by Medway to the west, Canterbury to the east, Ashford to the south and Maidstone to the south west.	Ashford is north of Swale and Canterbury is west.	contradiction	contradiction
31	edit_other_31056759.001	edit_other_31056759.001e	wikipedia					It is the seat of the gmina (administrative district) called Gmina Korycin.	It's the location of the gmina called Gmina Korycin. 	entailment	entailment
32	edit_other_46598320.003	edit_other_46598320.003e	wikipedia					Erik Pontoppidan, the Bishop of Bergen, Norway, in the mid 18th century, recommended using elm, as it helped the often crumbly bark bread hold together better.	Erik Pontoppidan served as a bishop in Bergen, Norway.	entailment	entailment
33	edit_other_60197148.000	edit_other_60197148.000c	wikipedia					Hamsan made his international debut on October 13 2015 during a FIFA World Cup qualification match against North Korea.	Hamsan played against South Korea in October 13, 2015	contradiction	contradiction
34	edit_other_10600599.001	edit_other_10600599.001n	wikipedia					English Governors were resident, and consequently it seemed a promising field for the establishment of a mission station.	It was briefly recaptured by the English after the skirmish, and re-instated to the governors. 	neutral	neutral
35	edit_other_55687976.001	edit_other_55687976.001e	wikipedia					It was divided in two parts, the public baths towards via Tadino and the hall of the artisans towards corso Buenos Aires.	The villa was divided into two parts, an area for public bathing and another area dedicated to the arts.	entailment	entailment
36	edit_other_06321400.000	edit_other_06321400.000c	wikipedia					"His final release of 1976, ""Baalu Jenu"", yet again saw him performing a role which troubles the female lead."	"His role at ""Baalu Jenu"" inspired the female lead character"	contradiction	contradiction
37	edit_other_52080447.003	edit_other_52080447.003n	wikipedia					Cristina found Bailey and Webber they both had to say goodbye to Yang, but not before Shane got a word in.	Yang would be going off to study, hence why they were leaving.	neutral	neutral
38	edit_other_16565890.001	edit_other_16565890.001c	wikipedia					To me, doing this record was sort of a tribute to Samhain.	To me, doing this record was disrespectful to Samhain.	contradiction	contradiction
39	edit_other_03506576.002	edit_other_03506576.002n	wikipedia					African officials took notice of the issue, and the Organization of African Unity issued an official protest.	The Organization of African Unity is headquartered in Kenya.	neutral	neutral
40	edit_other_42937408.001	edit_other_42937408.001c	wikipedia					The stem (peduncle) of the flower spike may either be hidden by the leaf sheaths or protrude.	The stem is one of the few that expose their flower spikes at all times.	contradiction	contradiction
41	edit_other_28728514.002	edit_other_28728514.002c	wikipedia					Clark served as the Plano ISD Athletics Director for 17 years.	Plano ISD's Fine Arts Director was Clark for a period of 19 years.	contradiction	contradiction
42	edit_other_47981445.001	edit_other_47981445.001n	wikipedia					"NME called ""Recharged"" ""further proof"" that dubstep and EDM is nu metal's successor, and described the songs as ""nosebleed drum’n’bass, 8-bit blips and oversized dancehall bass""."	Dubstep is generally instrumental as is EDM which is why they are considered successor's to nu metal, which is the same.	neutral	neutral
43	edit_other_45601020.004	edit_other_45601020.004n	wikipedia					In addition to his father's estates at Tristernagh he also acquired plantation land in Cavan.	His father's estates were quite valuable. 	neutral	neutral
44	edit_other_02885912.003	edit_other_02885912.003c	wikipedia					Pelts were stretched over a bar in a cutting machine, and the skin was sliced off in thin shreds, with the fleece coming away entirely.	The skin attached to the bones was thinly sliced off	contradiction	contradiction
45	edit_other_50615515.001	edit_other_50615515.001e	wikipedia					The first pastor, Samuel Blair, was one of the leaders of the Presbyterian New Light religious movement that swept the colonies as part of the First Great Awakening.	Samuel Blair was the leader of a religious movement.	entailment	entailment
46	edit_other_51100897.003	edit_other_51100897.003c	wikipedia					Trans men are normally treated with exogenous testosterone, which is expected to cease menses, to increase facial and body hair, to cause changes in skin and in fat distribution, and to increase muscle mass and libido.	exogenous progesterone is supposed to increase facial and body hair among other changes	contradiction	contradiction
47	edit_other_19769969.000	edit_other_19769969.000n	wikipedia					A colony world of the Miraluka named Katarr was stripped of all life by a Sith Lord named Darth Nihilus approximately 3,955 years BBY, during a meeting of several Jedi Masters.	Darth Nihilus became a controversial character.	neutral	neutral
48	edit_other_51392411.000	edit_other_51392411.000c	wikipedia					The brief examined each reason given by Exponent for not believing the referee regarding the question of which gauge had been used pre-game, arguing why Exponent would not have actually believed each reason it gave.	Exponent always agree with the referee.	contradiction	contradiction
49	edit_other_12104926.000	edit_other_12104926.000n	wikipedia					"No conceptual music videos ended up being made to promote ""Invitation to the Dance"", in part due to issues with the band's troubled label London-Sire."	London-sire was having financial difficulties, so creating the music video would be too big of an expense. 	neutral	neutral
50	edit_other_02975579.000	edit_other_02975579.000n	wikipedia					Using a defining vocabulary is not without its problems, and some scholars have argued that it can lead to definitions which are insufficiently precise or accurate, or that words in the list are sometimes used in non-central meanings.	The meanings of many words found in it have not been satisfactorily explained by scholars.	neutral	neutral
51	edit_other_52867346.008	edit_other_52867346.008n	wikipedia					The packaging includes liner notes providing information about the songs and bands.	The collective album had over twenty songs in it. 	neutral	neutral
52	edit_other_17809443.001	edit_other_17809443.001n	wikipedia					Viceroy Zúñiga sent a ship from the Armada de Barlovento (coast guard) to pick them up and transport them to Veracruz.	Viceroy Zúñiga made sure that they were well taken care of.	neutral	neutral
