gold_label	null	null	null	null	sentence1	sentence2	promptID	pairID	genre	label1	null	null	null	null
contradiction					Moderate to severe damage was reported across the lower Mississippi Valley.	It was estimated to have done $200,000 damage in this county.	edit_other_13407008.000	edit_other_13407008.000c	wikipedia	contradiction				
contradiction					"Wilson argues that the essential weakness of James George Frazer's ""The Golden Bough"" is that Frazer attributed the fundamental mythological systems to the beginnings of the farming cultures, specifically to fertility."	Wilson argued that the strength of Frazer's work was the fundamental mythological systems linked to farming societies.	edit_other_26832272.000	edit_other_26832272.000c	wikipedia	contradiction				
contradiction					Valery Semenovich Durov (; ) is a Russian antiquarian, philologist, and academic (Honored Worker of Higher Professional Education of the Russian Federation).	Durov is a Russian Modernist and mathematician. 	edit_other_54725722.000	edit_other_54725722.000c	wikipedia	contradiction				
neutral					Henry is the son of Brian Henry, well-known figure in independent TV in London and great-nephew of Elizabeth Craig MBE Scottish journalist, cook and author.	Henry Kelly is an Irish TV presenter.	edit_other_26889279.000	edit_other_26889279.000n	wikipedia	neutral				
contradiction					An AArk Steering Committee, with Executive Co-Chairs from each of the three principal partners, provide guidance on the activities of the AArk and ensure communication with stakeholders.	The stakeholders and partners of the AArk Steering Committee, are responsible for the communication between the involved parties	edit_other_26647110.000	edit_other_26647110.000c	wikipedia	contradiction				
neutral					The product of this conference was the controversial Treaty of Versailles.	The Treat of Versailles resulted in a demilitarized Germany.  	edit_other_15946351.001	edit_other_15946351.001n	wikipedia	neutral				
entailment					The center featureed four classrooms with multimedia capabilities, two computer labs, a conference room, student computer workstations, and a lounge area with ports for laptop use.	The center's classrooms had multimedia capabilities.	edit_other_06468402.000	edit_other_06468402.000e	wikipedia	entailment				
entailment					The series follows recovering addict and comedian Mae, who is trying to control the addictive behaviours and intense romanticism that permeate every facet of her life.	Controlling the intense romanticism and the addictive behaviors that permeate every facet of Mae's life is the premise of the series.	edit_other_60601897.000	edit_other_60601897.000e	wikipedia	entailment				
neutral					Worship is done by the priest every Saturday and Tuesday at noon time.	More people attend the worship on Sunday.	edit_other_31873760.001	edit_other_31873760.001n	wikipedia	neutral				
neutral					"In the aftermath of the Korean War, TAC developed the Composite Air Strike Force (CASF) concept, a mobile rapid-deployment strike concept designed to respond to ""brush fire"" conflicts around the world."	CASF would soon be deployed world wide to help with brush warfare. 	edit_other_08753665.000	edit_other_08753665.000n	wikipedia	neutral				
neutral					On December 1, 2007, Drake Younger competed in the third IWA Deep-South Carnage Cup where he wrestled a Three Way Deathmatch against Viking and WHACKS.	Drake Younger wrestled against Viking and WHACKS losing the fight	edit_other_30034521.000	edit_other_30034521.000n	wikipedia	neutral				
contradiction					In 1664 he came back to Holland; when war broke out with an England supported by the invading bishop of Münster, he was appointed commander-in-chief of the Dutch States Army.	He was almost appointed commander-in-chief of the Dutch States Army.	edit_other_04269498.001	edit_other_04269498.001c	wikipedia	contradiction				
contradiction					Being a noble meant that one had responsibilities to lead, manage and so on.	If you are a noble you are given hired help to both lead and manage in your stead while you relax.	edit_other_33215364.001	edit_other_33215364.001c	wikipedia	contradiction				
neutral					"But Diddy told T.I., ""Yeah, this is my record, but you know what, I think this is a better fit for you."	Diddy produced a solo album by T.I.	edit_other_40094849.001	edit_other_40094849.001n	wikipedia	neutral				
contradiction					Soon after the war, Van Heuvelen showed the finished symphony to Leonard Bernstein, but nothing came of it.	Leonard Bernstein showed his long finished symphony to Van Heuvelen soon after the end of the war, to much admiration and praise.	edit_other_45854193.003	edit_other_45854193.003c	wikipedia	contradiction				
entailment					"The album was recorded following the departure of Hazel Payne from A Taste of Honey in 1983 and after the commercial disappointment of their 1982 album, ""Ladies of the Eighties""."	The album was recorded by them in 1983.	edit_other_51480682.002	edit_other_51480682.002e	wikipedia	entailment				
