index	promptID	pairID	genre	null	null	null	null	sentence1	sentence2	label1	gold_label
1	edit_premise_24281558.002	edit_premise_24281558.002c	wikipedia					She is surprised there by Albert.	She knew Albert was there.	contradiction	contradiction
2	edit_premise_12100970.000	edit_premise_12100970.000c	wikipedia					Hayward's first Test match for England came on tour with Lord Hawke's side against South Africa at Port Elizabeth in 1895/96, and in his second Test (at Johannesburg) he hit 122 as England recorded an innings victory.	Hayward's first Test match for England came on tour with Lord Hawke's side against South Africa at Port Elizabeth in 1895/96, and in his second Test (at Johannesburg) he hit 162 as England recorded an innings victory.	contradiction	contradiction
3	edit_premise_02181819.000	edit_premise_02181819.000c	wikipedia					Charles Lamb and his wife came to the area from Vermont in 1839 to become the first white settlers.	The first white settlers of the area were Charles Lamb and his son.	contradiction	contradiction
4	edit_premise_11036563.002	edit_premise_11036563.002n	wikipedia					WCPT broadcasts at 5,800 watts in the daytime.	From 8:00 am to 5:00 pm, WCPT transmits at 5,800 watts.	neutral	neutral
5	edit_premise_48702845.003	edit_premise_48702845.003c	wikipedia					In Week 17, to close out another dominant year, the Legion of Boom dismantled the high-powered Arizona Cardinals offense in a 36–6 win.	The Arizona Cardinals defense was dismantled by the Legion of Boom which closed out another dominant year with a win of 30-12.	contradiction	contradiction
6	edit_premise_37012360.000	edit_premise_37012360.000c	wikipedia					Formerly a board member of the Charleston Trust (1995-2010) and Gate Theatre (1993-2012), he was appointed to the boards of the Cambridge Arts Theatre and Shadwell Opera in 2016.	He served as a Gate Theatre board member for 15 years	contradiction	contradiction
7	edit_premise_51642635.002	edit_premise_51642635.002n	wikipedia					She returned to Britain on 20 May 1823 with 500 casks of oil.	She returned to Britain on the morning of 20 May 1823 with 500 casks of oil.	neutral	neutral
8	edit_premise_06909108.002	edit_premise_06909108.002c	wikipedia					Misha was used extensively during the opening and closing ceremonies, had a TV animated cartoon and appeared on several merchandise products.	Misha was hardly used during the ceremonies, had a TV animated cartoon that was removed from several merchandise products.	contradiction	contradiction
9	edit_premise_07173140.000	edit_premise_07173140.000e	wikipedia					"Pyotr Stepanovich visits Kirillov to remind him of an ""agreement"" he made to commit suicide at a time convenient to the revolutionary society."	"Pyotr Stepanovich sees Kirillov to remind him of an ""agreement"" he made to commit suicide at a time convenient to the revolutionary society."	entailment	entailment
10	edit_premise_11105120.000	edit_premise_11105120.000c	wikipedia					Shane then, he opened his own wrestling school, Capital City Pro Wrestling.	Capital City Pro Wrestling is the name of the judo academy. 	contradiction	contradiction
